Title,Body,Labels,Milestone
"[SPL-LOGIN-001] Define auth env vars and callback contract","Document the GitHub OAuth environment variables and callback URL contract for local development.\nDefinition of Done: env var names and callback URL requirements are committed.\nDepends on: SPL-P6-001","type:docs,priority:p0","Phase Login"
"[SPL-LOGIN-002] Add backend auth config loader","Add backend settings for GitHub OAuth client ID, client secret, session secret, and app base URLs.\nDefinition of Done: auth config loads from environment with clear validation errors.\nDepends on: SPL-LOGIN-001","type:backend,priority:p0","Phase Login"
"[SPL-LOGIN-003] Create GitHub OAuth start endpoint","Add API endpoint that redirects the user to GitHub OAuth with the required scopes.\nDefinition of Done: start endpoint builds valid GitHub authorize URL.\nDepends on: SPL-LOGIN-002","type:backend,priority:p0","Phase Login"
"[SPL-LOGIN-004] Add OAuth state verification","Generate and validate OAuth state to protect the login flow.\nDefinition of Done: callback rejects missing or invalid state.\nDepends on: SPL-LOGIN-003","type:security,priority:p0","Phase Login"
"[SPL-LOGIN-005] Implement GitHub OAuth callback exchange","Exchange the GitHub authorization code for an access token in the backend callback route.\nDefinition of Done: backend receives access token from GitHub on successful login.\nDepends on: SPL-LOGIN-003, SPL-LOGIN-004","type:backend,priority:p0","Phase Login"
"[SPL-LOGIN-006] Fetch authenticated GitHub user profile","Fetch the signed-in GitHub user profile after token exchange.\nDefinition of Done: backend can resolve login identity from GitHub API.\nDepends on: SPL-LOGIN-005","type:backend,priority:p0","Phase Login"
"[SPL-LOGIN-007] Add session cookie handling","Persist signed-in state in a secure HTTP-only session cookie.\nDefinition of Done: successful login creates a session cookie and logout clears it.\nDepends on: SPL-LOGIN-005, SPL-LOGIN-006","type:backend,priority:p0","Phase Login"
"[SPL-LOGIN-008] Add auth status endpoint","Expose current signed-in user/session state to the frontend.\nDefinition of Done: auth status endpoint returns anonymous or authenticated user state.\nDepends on: SPL-LOGIN-007","type:backend,priority:p0","Phase Login"
"[SPL-LOGIN-009] Add logout endpoint","Add backend endpoint that clears the active session.\nDefinition of Done: logout invalidates the session and clears cookie state.\nDepends on: SPL-LOGIN-007","type:backend,priority:p1","Phase Login"
"[SPL-LOGIN-010] Create login screen and GitHub sign-in button","Add a simple login screen with a GitHub OAuth entry point.\nDefinition of Done: user can initiate sign-in from the web app.\nDepends on: SPL-LOGIN-003","type:frontend,priority:p0","Phase Login"
"[SPL-LOGIN-011] Add frontend auth bootstrap","Load auth status on app startup and keep signed-in state in client app state.\nDefinition of Done: frontend reflects authenticated user state after refresh.\nDepends on: SPL-LOGIN-008","type:frontend,priority:p0","Phase Login"
"[SPL-LOGIN-012] Protect repository and editor routes","Gate repository browsing and editor routes behind authentication.\nDefinition of Done: anonymous users are redirected to login for protected routes.\nDepends on: SPL-LOGIN-011","type:frontend,priority:p0","Phase Login"
"[SPL-LOGIN-013] Add signed-in header state","Show authenticated user identity and logout action in the app shell.\nDefinition of Done: signed-in header displays user info and logout control.\nDepends on: SPL-LOGIN-011, SPL-LOGIN-009","type:frontend,priority:p1","Phase Login"
"[SPL-LOGIN-014] Add login error handling","Handle OAuth denial, callback failure, and expired session states in the UI.\nDefinition of Done: login-related failures render clear user-facing messages.\nDepends on: SPL-LOGIN-005, SPL-LOGIN-011","type:frontend,priority:p1","Phase Login"
"[SPL-LOGIN-015] Document local GitHub OAuth setup","Write local setup steps for creating a GitHub OAuth app and running the login flow.\nDefinition of Done: local auth setup doc is committed and testable.\nDepends on: SPL-LOGIN-001, SPL-LOGIN-010","type:docs,priority:p0","Phase Login"
