Title,Body,Labels,Milestone
"[SPL-UI-001] Define minimal visual system","Define the UI refresh visual system: white background, black/charcoal text, forest-green accent, spacing scale, border radius, and typography guidance.\nDefinition of Done: shared design tokens and usage notes are committed.\nDepends on: SPL-LOGIN-010","type:frontend,priority:p0","Phase UI"
"[SPL-UI-002] Refresh global theme tokens","Update global CSS variables to match the new minimal visual system and remove the current crowded card-heavy styling baseline.\nDefinition of Done: app-wide tokens reflect the new white/black/green palette.\nDepends on: SPL-UI-001","type:frontend,priority:p0","Phase UI"
"[SPL-UI-003] Create persistent left sidebar shell","Implement a Notion/Vercel-style left sidebar layout for authenticated pages.\nDefinition of Done: protected app routes render within a consistent sidebar shell.\nDepends on: SPL-UI-002","type:frontend,priority:p0","Phase UI"
"[SPL-UI-004] Add sidebar navigation items","Add clear navigation for Home, Repositories, Editor, and Change Requests with room for Approvals later.\nDefinition of Done: sidebar navigation is functional and visually minimal.\nDepends on: SPL-UI-003","type:frontend,priority:p0","Phase UI"
"[SPL-UI-005] Simplify login page layout","Redesign the login page to be more minimal with a calm centered panel, concise messaging, and one primary GitHub sign-in action.\nDefinition of Done: login page matches the new design language.\nDepends on: SPL-UI-002","type:frontend,priority:p0","Phase UI"
"[SPL-UI-006] Refresh home page","Update the public landing page to align with the new minimal style and reduce visual clutter.\nDefinition of Done: home page reflects the refreshed UI direction.\nDepends on: SPL-UI-002","type:frontend,priority:p1","Phase UI"
"[SPL-UI-007] Redesign repositories page layout","Restructure the repositories screen into a calmer two-pane layout with less card noise and clearer spacing.\nDefinition of Done: repositories page uses the new sidebar shell and simplified structure.\nDepends on: SPL-UI-003, SPL-P2-012","type:frontend,priority:p0","Phase UI"
"[SPL-UI-008] Simplify repository/file list styling","Refine repository and file tree presentation for readability with lighter borders, better spacing, and lower visual density.\nDefinition of Done: repo and file lists are easier to scan and feel less crowded.\nDepends on: SPL-UI-007","type:frontend,priority:p0","Phase UI"
"[SPL-UI-009] Redesign editor page as document workspace","Restyle the editor page to feel document-like instead of dashboard-like, with minimal chrome and careful spacing.\nDefinition of Done: editor page matches the new workspace style.\nDepends on: SPL-UI-003, SPL-P3-007","type:frontend,priority:p0","Phase UI"
"[SPL-UI-010] Add persistent drafts storage","Persist editor drafts so users can return to in-progress changes instead of losing them on refresh or navigation.\nDefinition of Done: editor drafts survive page reload and app navigation.\nDepends on: SPL-P4-003, SPL-UI-009","type:frontend,priority:p0","Phase UI"
"[SPL-UI-011] Add drafts list to editor","Show a minimal drafts area in the editor where users can reopen saved drafts for a file.\nDefinition of Done: saved drafts are visible and loadable from the editor UI.\nDepends on: SPL-UI-010","type:frontend,priority:p0","Phase UI"
"[SPL-UI-012] Add draft delete action","Allow users to remove saved drafts they no longer want.\nDefinition of Done: users can delete drafts from the editor and the list updates immediately.\nDepends on: SPL-UI-011","type:frontend,priority:p0","Phase UI"
"[SPL-UI-013] Unify button and input treatments","Standardize buttons, inputs, selects, and banners so controls feel consistent across login, repositories, and editor pages.\nDefinition of Done: shared control styles are used across key screens.\nDepends on: SPL-UI-002","type:frontend,priority:p1","Phase UI"
"[SPL-UI-014] Reduce empty-state and banner noise","Refine loading, empty, and error states so they are informative without dominating the page.\nDefinition of Done: support states are calmer and visually lighter.\nDepends on: SPL-UI-013","type:frontend,priority:p1","Phase UI"
"[SPL-UI-015] Add responsive sidebar behavior","Ensure the sidebar shell and refreshed pages work well on laptop and mobile widths.\nDefinition of Done: sidebar and content layouts adapt cleanly to smaller screens.\nDepends on: SPL-UI-003, SPL-UI-007, SPL-UI-009","type:frontend,priority:p0","Phase UI"
